name,genre,artist,song,danceability,energy,liveness,valence
default,--,--,--,0.0,0.0,0.0,0.0
Waterloo,Pop,Abba,Waterloo,-0.610773,1.34764,0.533602,1.24616
DancingQueen,Pop,Abba,Dancing Queen,0.520683,0.233578,0.103909,0.241891
CountryRoads,Country,John Denver,Country Roads,-1.612884,-0.535034,0.22544,0.350232
Surprise,Pop,Rick Astley,Never Gonna Give You Up,0.930107,1.396981,-0.077223,1.77295
ViolinDubstep,Electronic,Lindsey Stirling,Crystallize,-0.616161,0.197537,-0.605528,-1.532756
Pop,Pop,Jennifer Lopez,On The Floor,0.924719,0.789668,-0.674248,0.388683
Starman,Rock,David Bowie,Starman - 2012 Remastered Version,-0.2894412575913503,-0.3884666175588905,1.595408896286666,0.3669092173684101
DnB,Electronic,The Prodigy,Voodoo People (Pendulum Mix),-0.5205648647695157,1.4604028229503192,0.2272191020296537,0.3034352398619
Tycho,Electronic,Tycho,Awake,0.0572441531758981,1.163133618790015,-1.0500976039268732,0.5461298597397324
Arty,Electronic,ARTY,Save Me Tonight,0.0467385346677997,1.2392635369286296,-0.2377188435774459,-0.1632851829800857
Alternative,Alternative,Linkin Park,In the End,0.0047160606354059,1.0725027638630928,-0.5556049818861681,-0.3051681915240493
Metal,Metal,Sabaton,The Last Stand,0.519,0.935,0.0661,0.498
Disco,Electronic,Conrad Sewell,Hold Me Up (Throttle Remix),0.748,0.933,0.297,0.473
Ukraine,Ukraine,Dirk Mündelein,National Anthem of the Ukraine (Solo Guitar),0.0,-1.0,2.0,0.0
Cossack,Ukraine,Folk Music,"Хай живе, вільна Україна",0.5,0.7,0.5,0.5
Bayraktar,Ukraine,Ukrainian Armed Forces,Bayraktar,1.5,1.5,-1.0,1.0
spotify/671,Alternative,Joji,Sanctuary,0.0572441531758981,0.3365802218564859,1.0973283524475748,-0.5067914141917871
spotify/677,Pop,Smash Mouth,All Star,0.9974970096507072,1.101504637439708,-0.909104124168338,1.2256747953976634
spotify/45639,Blues,Jimi Hendrix,All Along the Watchtower,-0.626936,0.888356,-0.883847,0.419445
spotify/552,A Capella,MC6 A Cappella,For the Longest Time,0.420882802804353,-0.9539551389324756,-0.7016476746926037,1.0053490045827476
